GBS Taxon ID,Accession,Group,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
13S058902.250394412,ZM15-044,C. Mexico Low,22.72453,-105.6148,17,72.05121591,74.00146696,278.0230964,-0.156159265
13S058904.250394413,ZM15-044,C. Mexico Low,22.72453,-105.6148,17,NA,NA,NA,NA
13S058905.250394414,ZM15-044,C. Mexico Low,22.72453,-105.6148,17,70.67682826,73.33560685,262.4054322,-0.02986083
RIMMA0696.1.250049125,Mex_Low:Tuxpeno,C. Mexico Low,16.51666667,-90.16666667,30,NA,NA,NA,NA
RIMMA0703.1.250049206,Mex_Low:Nal_Tel,C. Mexico Low,20.83333333,-88.51666667,30,NA,NA,NA,NA
RIMMA0720.1.250049147,Mex_Low:Negro_de_Tierra_C,C. Mexico Low,15.46666667,-88.85,39,NA,NA,NA,NA
RIMMA0710.1.250049117,Mex_Low:Tepecintle,C. Mexico Low,15.33333333,-92.63333333,91,NA,NA,NA,NA
RIMMA0716.1.250049137,Mex_Low:Zapalote_Grande,C. Mexico Low,15.31666667,-92.66666667,91,NA,NA,NA,NA
RIMMA0409.1.250049161,Mex_Low:Tepecintle,C. Mexico Low,15.43333333,-92.9,107,NA,NA,NA,NA
RIMMA0733.1.250049138,Mex_Low:Zapalote_Chico,C. Mexico Low,16.56666667,-94.61666667,107,NA,NA,NA,NA
RIMMA0729.1.250049205,Mex_Low:Tepecintle,C. Mexico Low,15.4,-89.66666667,122,NA,NA,NA,NA
RIMMA0615.1.250049188,Mex_Low:Tuxpeno,C. Mexico Low,20.13333333,-97.2,152,NA,NA,NA,NA
RIMMA0628.1.250049165,Mex_Low:Tuxpeno_Norteno,C. Mexico Low,23.31666667,-99.01666667,300,NA,NA,NA,NA
RIMMA0433.1.250049131,Mex_Low:Nal_Tel_ATB,C. Mexico Low,14.71666667,-89.5,457,NA,NA,NA,NA
RIMMA0700.1.250049136,Mex_Low:Olotillo,C. Mexico Low,16.75,-93.16666667,579,NA,NA,NA,NA
RIMMA0701.1.250049146,Mex_Low:Olotillo,C. Mexico Low,16.6,-92.71666667,686,NA,NA,NA,NA
RIMMA0722.1.250049181,Mex_Low:Dzit_Bacal,C. Mexico Low,14.33333333,-89.71666667,737,NA,NA,NA,NA
RIMMA0619.1.250049151,Mex_Low:Pepitilla,C. Mexico Low,18.35,-99.53333333,747,NA,NA,NA,NA
RIMMA0709.1.250049204,Mex_Low:Tehua,C. Mexico Low,16.5,-92.5,747,NA,NA,NA,NA
RIMMA0721.1.250049169,Mex_Low:Nal_Tel_ATB,C. Mexico Low,14.61666667,-90.08333333,915,NA,NA,NA,NA
