SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS10	SEEDGWAS10.MRG.4.250054453	G5509	CIMMYTMA-000459	1952-01-01	8	6	163	19.938631	-96.87067	2.86294515645428	CIMMYTMA
SEEDGWAS1000	SEEDGWAS1000.MRG.4.250067677	G27004	CIMMYTMA-019857		7	5	963	21.83299	-99.634229	5.88553138154449	CIMMYTMA
SEEDGWAS1001	SEEDGWAS1001.MRG.4.250067678	G27012	CIMMYTMA-019920		7	5	1221	22.023366	-99.653771	6.04784840984337	CIMMYTMA
SEEDGWAS1004	SEEDGWAS1004.MRG.4.250067680	G27110	CIMMYTMA-020401	1943-01-01	7	5	11	20.969048	-97.382255	4.00466552052041	CIMMYTMA
SEEDGWAS101	SEEDGWAS101.MRG.4.250054517	G8190	CIMMYTMA-001759	1948-01-01	8	6	109	20.43027778	-97.382222	3.50488012343549	CIMMYTMA
SEEDGWAS1014	SEEDGWAS1014.MRG.4.250067720	G27993	CIMMYTMA-023246		7	5	42	21.51666667	-98.38333333	4.92442877357366	CIMMYTMA
SEEDGWAS1019	SEEDGWAS1019.MRG.4.250067723	G28477	CIMMYTMA-024285	1952-01-26	7	5	108	21.296297	-98.746577	4.92736220917805	CIMMYTMA
SEEDGWAS1030	SEEDGWAS1030.MRG.4.250067733	G28863	CIMMYTMA-025011		7	5	229	21.06666667	-97.63333333	4.18867503490068	CIMMYTMA
SEEDGWAS1033	SEEDGWAS1033.MRG.4.250067736	G28897	CIMMYTMA-025081	1952-03-12	7	5	342	18.317643	-101.728267	5.84947987576092	CIMMYTMA
SEEDGWAS1035	SEEDGWAS1035.MRG.4.250067738	G28985	CIMMYTMA-025246		7	5	84	22.81666667	-98.43333333	6.11248704873885	CIMMYTMA
SEEDGWAS1036	SEEDGWAS1036.MRG.4.250067739	G29273	CIMMYTMA-025799	1972-01-01	7	5	523	17.1	-93.21666667	2.76912509115148	CIMMYTMA
SEEDGWAS1045	SEEDGWAS1045.MRG.4.250067747	G30079	CIMMYTMA-029309	2007-05-30	7	5	406	21.038899	-98.277964	4.45811494782099	CIMMYTMA
SEEDGWAS1048	SEEDGWAS1048.MRG.4.250067748	G30084	CIMMYTMA-029324	2007-06-05	7	5	249	21.10534	-98.222282	4.48716729413224	CIMMYTMA
SEEDGWAS1049	SEEDGWAS1049.MRG.4.250067749	G30096	CIMMYTMA-029325	2007-06-05	7	5	249	21.10534	-98.222282	4.48716729413224	CIMMYTMA
SEEDGWAS105	SEEDGWAS105.MRG.4.250054520	G8237	CIMMYTMA-001792	1948-01-01	7	5	7	20.601679	-90.102679	6.78530748808483	CIMMYTMA
SEEDGWAS1050	SEEDGWAS1050.MRG.4.250067750	G30097	CIMMYTMA-029328	2007-06-05	7	5	500	21.029685	-98.296549	4.45982898001481	CIMMYTMA
SEEDGWAS1051	SEEDGWAS1051.MRG.4.250067752	G30108	CIMMYTMA-029329	2007-06-05	7	5	500	21.029685	-98.296549	4.45982898001481	CIMMYTMA
SEEDGWAS1053	SEEDGWAS1053.MRG.4.250067753	G30146	CIMMYTMA-029358	2007-06-06	7	5	225	20.990301	-98.384997	4.47306422207998	CIMMYTMA
SEEDGWAS1054	SEEDGWAS1054.MRG.4.250067754	G30149	CIMMYTMA-029362	2007-06-06	7	5	234	21.176271	-98.443742	4.6617675064397	CIMMYTMA
SEEDGWAS1055	SEEDGWAS1055.MRG.4.250067755	G30150	CIMMYTMA-029364	2007-06-06	7	5	234	21.176271	-98.443742	4.6617675064397	CIMMYTMA
SEEDGWAS1056	SEEDGWAS1056.MRG.4.250067756	G30158	CIMMYTMA-029367	2007-06-06	7	5	148	21.158401	-98.337297	4.59112333095638	CIMMYTMA
SEEDGWAS1057	SEEDGWAS1057.MRG.4.250067757	G30159	CIMMYTMA-029371	2007-06-06	7	5	331	21.129713	-98.427901	4.61387491212538	CIMMYTMA
SEEDGWAS1058	SEEDGWAS1058.MRG.4.250067758	G30161	CIMMYTMA-029377	2007-06-06	7	5	448	20.93	-98.4	4.43047642559782	CIMMYTMA
SEEDGWAS1059	SEEDGWAS1059.MRG.4.250067759	G30189	CIMMYTMA-029400	2007-06-07	7	5	217	21.098973	-98.438302	4.59338357516515	CIMMYTMA
SEEDGWAS1060	SEEDGWAS1060.MRG.4.250067760	G30196	CIMMYTMA-029421	2007-08-17	7	5	140	21.38	-98.8	5.02662457895733	CIMMYTMA
SEEDGWAS1061	SEEDGWAS1061.MRG.4.250067761	G30199	CIMMYTMA-029423	2007-08-17	7	5	140	21.38	-98.8	5.02662457895733	CIMMYTMA
SEEDGWAS1062	SEEDGWAS1062.MRG.4.250067762	G30200	CIMMYTMA-029426	2007-08-17	7	5	193	21.412869	-98.839974	5.07626920362632	CIMMYTMA
SEEDGWAS1063	SEEDGWAS1063.MRG.4.250067763	G30205	CIMMYTMA-029427	2007-08-17	7	5	193	21.412869	-98.839974	5.07626920362632	CIMMYTMA
