SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1	SEEDGWAS1.MRG.4.250054445	G273	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS10	SEEDGWAS10.MRG.4.250054453	G5509	CIMMYTMA-000459	1952-01-01	8	6	163	19.938631	-96.87067	2.86294515645428	CIMMYTMA
SEEDGWAS1000	SEEDGWAS1000.MRG.4.250067677	G27004	CIMMYTMA-019857		7	5	963	21.83299	-99.634229	5.88553138154449	CIMMYTMA
SEEDGWAS1001	SEEDGWAS1001.MRG.4.250067678	G27012	CIMMYTMA-019920		7	5	1221	22.023366	-99.653771	6.04784840984337	CIMMYTMA
SEEDGWAS1003	SEEDGWAS1003.MRG.4.250067679	G27086	CIMMYTMA-020361	1948-01-01	7	5	45	20.485433	-89.732539	7.05388239150555	CIMMYTMA
SEEDGWAS1004	SEEDGWAS1004.MRG.4.250067680	G27110	CIMMYTMA-020401	1943-01-01	7	5	11	20.969048	-97.382255	4.00466552052041	CIMMYTMA
SEEDGWAS1005	SEEDGWAS1005.MRG.4.250067681	G27119	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1006	SEEDGWAS1006.MRG.4.250067682	G27507	CIMMYTMA-021385	1998-02-24	3	1	132	-23.267981	-57.309104	55.9884158771111	CIMMYTMA
SEEDGWAS1007	SEEDGWAS1007.MRG.4.250067684	G27713	CIMMYTMA-022081	1988-11-09	6	4	43	8.433333333	-62.46666667	34.6484324635677	CIMMYTMA
SEEDGWAS1008	SEEDGWAS1008.MRG.4.250067716	G27815	CIMMYTMA-022993	1951-09-05	3	1	297	3.85	-74.91666667	24.9493931178385	CIMMYTMA
SEEDGWAS1009	SEEDGWAS1009.MRG.4.250067717	G27839	CIMMYTMA-023172	1974-02-20	7	5	12	19.58333333	-88.05	8.27882129330285	CIMMYTMA
SEEDGWAS101	SEEDGWAS101.MRG.4.250054517	G8190	CIMMYTMA-001759	1948-01-01	8	6	109	20.43027778	-97.382222	3.50488012343549	CIMMYTMA
SEEDGWAS1011	SEEDGWAS1011.MRG.4.250067718	G27908	CIMMYTMA-023203	1972-01-01	7	5	700	16.332904	-92.564373	3.53133466578417	CIMMYTMA
SEEDGWAS1012	SEEDGWAS1012.MRG.4.250067719	G27915	CIMMYTMA-023208	1972-01-01	7	5	700	16.332904	-92.564373	3.53133466578417	CIMMYTMA
SEEDGWAS1014	SEEDGWAS1014.MRG.4.250067720	G27993	CIMMYTMA-023246		7	5	42	21.51666667	-98.38333333	4.92442877357366	CIMMYTMA
SEEDGWAS1015	SEEDGWAS1015.MRG.4.250067721	G28031	CIMMYTMA-023271	1947-01-01	7	5	290	17.167363	-99.537659	3.55466794492707	CIMMYTMA
SEEDGWAS1017	SEEDGWAS1017.MRG.4.250067722	G28318	CIMMYTMA-023585	1999-05-04	7	5	23	16.429539	-95.064349	1.21000085976829	CIMMYTMA
SEEDGWAS1019	SEEDGWAS1019.MRG.4.250067723	G28477	CIMMYTMA-024285	1952-01-26	7	5	108	21.296297	-98.746577	4.92736220917805	CIMMYTMA
SEEDGWAS1020	SEEDGWAS1020.MRG.4.250067724	G28482	CIMMYTMA-024286	1972-01-01	7	5	449	16.56666667	-92.81666667	3.23268867578611	CIMMYTMA
SEEDGWAS1022	SEEDGWAS1022.MRG.4.250067725	G28487	CIMMYTMA-024297	1979-01-01	7	5	420	16.71666667	-93	3.02494233315102	CIMMYTMA
SEEDGWAS1023	SEEDGWAS1023.MRG.4.250067726	G28490	CIMMYTMA-024301	1972-01-01	7	5	572	16.25	-93.26666667	2.88352579968424	CIMMYTMA
SEEDGWAS1024	SEEDGWAS1024.MRG.4.250067727	G28492	CIMMYTMA-024307	1972-01-01	7	5	569	16.2	-93.26666667	2.90067022211155	CIMMYTMA
SEEDGWAS1025	SEEDGWAS1025.MRG.4.250067728	G28537	CIMMYTMA-024375	1972-01-01	7	5	449	16.56666667	-92.81666667	3.23268867578611	CIMMYTMA
SEEDGWAS1026	SEEDGWAS1026.MRG.4.250067729	G28542	CIMMYTMA-024405	1981-01-01	4	2	90	-35.96666667	-62.7	62.7395189321965	CIMMYTMA
SEEDGWAS1027	SEEDGWAS1027.MRG.4.250067730	G28558	CIMMYTMA-024437	1980-01-01	3	1	76	-27.01666667	-59.85	57.1157207890301	CIMMYTMA
SEEDGWAS1028	SEEDGWAS1028.MRG.4.250067731	G28789	CIMMYTMA-024800		NA	NA	214	-16.48333333	-63.91666667	46.5183954125844	CIMMYTMA
SEEDGWAS1029	SEEDGWAS1029.MRG.4.250067732	G28825	CIMMYTMA-024953	1972-01-01	7	5	547	16.7	-93.71666667	2.32480559196779	CIMMYTMA
SEEDGWAS103	SEEDGWAS103.MRG.4.250054518	G8198	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEEDGWAS1030	SEEDGWAS1030.MRG.4.250067733	G28863	CIMMYTMA-025011		7	5	229	21.06666667	-97.63333333	4.18867503490068	CIMMYTMA
SEEDGWAS1031	SEEDGWAS1031.MRG.4.250067734	G28883	CIMMYTMA-025041	1972-01-01	7	5	547	16.7	-93.71666667	2.32480559196779	CIMMYTMA
SEEDGWAS1032	SEEDGWAS1032.MRG.4.250067735	G28886	CIMMYTMA-025055	1974-03-08	7	5	12	19.58333333	-88.05	8.27882129330285	CIMMYTMA
